06/19/2022 at 09:15:01 AM | [INFO]  * Running on all addresses (0.0.0.0)
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.118:5000 (Press CTRL+C to quit)
06/19/2022 at 11:53:11 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:11] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:53:11 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:11] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:53:27 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:27] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:53:27 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:27] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:53:33 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:33] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:53:33 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:33] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:53:43 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:43] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:53:44 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:53:44] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:54:22 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:54:22] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:54:22 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:54:22] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:54:30 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:54:30] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:54:30 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:54:30] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:56:16 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:16] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:56:16 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:16] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:56:31 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:31] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:56:31 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:31] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:56:39 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:39] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:56:39 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:39] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:56:45 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:45] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:56:45 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:45] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:56:55 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:55] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:56:55 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:56:55] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:57:45 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:57:45] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:57:45 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:57:45] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:57:52 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:57:52] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:57:52 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:57:52] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:58:05 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:58:05] "GET /search/Xbox/Azule HTTP/1.1" 200 -
06/19/2022 at 11:58:05 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:58:05] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
06/19/2022 at 11:58:57 AM | [INFO] 127.0.0.1 - - [19/Jun/2022 11:58:57] "GET /search/Xbox/Azule HTTP/1.1" 200 -
